Invoice_ID,Date,Customer_ID,Product_ID,Quantity,Unit_Price,Cost_Price,Payment_Mode,Employee_ID,Total_Amount
INV10000,18-11-2024,C1052,P1507,8,4125.88,3311.1,UPI,E167,33007.04
INV10001,28-09-2024,C1657,P1056,6,1266.49,1011.24,UPI,E126,7598.94
INV10002,01-04-2025,C1448,P1473,6,1384.15,1046.88,Card,E114,8304.9
INV10003,27-03-2025,C1894,P1945,7,4342.13,3610.64,Card,E148,30394.91
INV10004,18-09-2024,C1084,P1163,8,1139.66,976.13,UPI,E129,9117.28
INV10005,10-10-2024,C1357,P1910,7,2083.45,1710.12,UPI,E154,14584.15
INV10006,20-06-2025,C1926,P1470,7,1656.98,1469.53,UPI,E193,11598.86
INV10007,18-05-2025,C1272,P1415,3,1458.68,1238.45,Cash,E123,4376.04
INV10008,12-09-2024,C1338,P1944,7,4086.78,3524.58,Cash,E145,28607.46
INV10009,17-04-2025,C1646,P1844,6,435.94,372.95,UPI,E175,2615.64
INV10010,24-10-2024,C1924,P1854,3,1401.78,1250.89,UPI,E122,4205.34
INV10011,14-07-2025,C1936,P1899,2,1226.46,1053.18,UPI,E180,2452.92
INV10012,15-01-2025,C1209,P1824,4,3884.17,3270.82,Card,E161,15536.68
INV10013,24-05-2025,C1631,P1257,3,1240.91,875.78,Cash,E167,3722.73
INV10014,13-09-2024,C1306,P1461,3,3563.38,2699.87,UPI,E121,10690.14
INV10015,23-08-2024,C1409,P1626,8,3072.83,2345.55,Card,E154,24582.64
INV10016,08-07-2025,C1720,P1388,1,2171.94,1859.14,UPI,E199,2171.94
INV10017,26-01-2025,C1077,P1722,6,4993.99,4175.44,Cash,E103,29963.94
INV10018,03-02-2025,C1159,P1431,7,259.89,185.95,Card,E127,1819.23
INV10019,19-02-2025,C1522,P1784,5,971.13,821.74,Card,E175,4855.65
INV10020,20-12-2024,C1610,P1395,8,537.95,385.37,Card,E143,4303.6
INV10021,22-12-2024,C1083,P1754,10,4232.94,3118.12,Cash,E175,42329.4
INV10022,16-03-2025,C1795,P1847,9,2346.05,1991.73,UPI,E117,21114.45
INV10023,27-03-2025,C1481,P1524,2,1716.73,1478.63,Cash,E122,3433.46
INV10024,08-05-2025,C1066,P1088,3,4959.09,3775.42,Card,E103,14877.27
INV10025,02-01-2025,C1198,P1734,8,3457.68,2529.9,Card,E192,27661.44
INV10026,18-02-2025,C1730,P1671,9,674.42,526.18,Card,E169,6069.78
INV10027,29-03-2025,C1714,P1510,5,4271.48,3684.02,UPI,E187,21357.4
INV10028,02-02-2025,C1393,P1489,7,2045.33,1688.6,Card,E113,14317.31
INV10029,12-04-2025,C1247,P1811,6,3043.52,2332.96,Cash,E109,18261.12
INV10030,14-04-2025,C1702,P1668,1,2326.92,1965.48,UPI,E177,2326.92
INV10031,07-01-2025,C1723,P1488,1,799.8,656.68,Card,E148,799.8
INV10032,20-01-2025,C1353,P1997,1,2395.34,2081.99,UPI,E198,2395.34
INV10033,07-11-2024,C1635,P1211,6,3956.93,3345.87,UPI,E156,23741.58
INV10034,23-01-2025,C1010,P1693,9,2995.29,2418.78,Card,E197,26957.61
INV10035,08-09-2024,C1941,P1692,7,644.34,560.13,UPI,E193,4510.38
INV10036,08-04-2025,C1967,P1973,1,4635.19,3842.31,UPI,E197,4635.19
INV10037,05-04-2025,C1832,P1608,8,1669.23,1458.38,UPI,E187,13353.84
INV10038,06-10-2024,C1706,P1294,2,4177.19,3148.51,Card,E183,8354.38
INV10039,15-12-2024,C1415,P1153,2,1925.9,1661.87,UPI,E194,3851.8
INV10040,04-08-2024,C1902,P1053,1,1943.89,1374.13,UPI,E102,1943.89
INV10041,19-07-2025,C1609,P1734,6,3457.68,2529.9,Cash,E152,20746.08
INV10042,05-11-2024,C1414,P1929,1,3416.15,2672.78,Cash,E194,3416.15
INV10043,15-03-2025,C1950,P1020,9,4182.34,3222.83,UPI,E136,37641.06
INV10044,21-05-2025,C1627,P1024,3,3058.05,2676.25,UPI,E152,9174.15
INV10045,14-09-2024,C1480,P1628,5,3013.87,2686.02,UPI,E192,15069.35
INV10046,08-01-2025,C1830,P1622,5,4824.35,3450.4,UPI,E176,24121.75
INV10047,14-10-2024,C1695,P1056,7,1266.49,1011.24,UPI,E104,8865.43
INV10048,20-09-2024,C1962,P1391,7,1696.25,1471.31,Cash,E175,11873.75
INV10049,07-07-2025,C1331,P1347,8,1180.78,1062.64,Card,E121,9446.24
INV10050,20-12-2024,C1591,P1892,3,1430.83,1027.79,UPI,E171,4292.49
INV10051,09-01-2025,C1916,P1635,2,1124.29,1008.14,UPI,E182,2248.58
INV10052,22-03-2025,C1602,P1052,7,3123.07,2376.19,Card,E178,21861.49
INV10053,09-04-2025,C1401,P1972,1,2269.1,1591.39,UPI,E162,2269.1
INV10054,15-08-2024,C1757,P1453,3,901.61,685.55,UPI,E137,2704.83
INV10055,03-12-2024,C1958,P1612,7,4062.04,3448.71,Card,E134,28434.28
INV10056,22-04-2025,C1127,P1968,1,1025.4,848.29,Cash,E132,1025.4
INV10057,17-10-2024,C1853,P1010,2,1879.4,1610.29,Card,E185,3758.8
INV10058,06-04-2025,C1969,P1308,8,1353.44,1212.61,Cash,E119,10827.52
INV10059,20-09-2024,C1801,P1857,1,307.71,233.81,Cash,E130,307.71
INV10060,09-11-2024,C1081,P1877,2,2697.44,2407.21,UPI,E113,5394.88
INV10061,09-03-2025,C1038,P1610,2,569.14,498.03,Cash,E174,1138.28
INV10062,18-05-2025,C1258,P1805,3,236.66,196.73,Card,E153,709.98
INV10063,12-04-2025,C1116,P1299,7,3062.56,2675.11,UPI,E106,21437.92
INV10064,27-02-2025,C1639,P1711,3,3493.57,2634.6,UPI,E128,10480.71
INV10065,06-07-2025,C1587,P1916,3,1373.24,1040.55,Card,E162,4119.72
INV10066,19-05-2025,C1848,P1916,7,1373.24,1040.55,UPI,E177,9612.68
INV10067,28-01-2025,C1810,P1496,3,3731.49,2684.53,Card,E172,11194.47
INV10068,20-07-2025,C1542,P1796,1,1696.57,1508.73,Cash,E109,1696.57
INV10069,27-11-2024,C1827,P1651,5,799.31,692.79,Cash,E173,3996.55
INV10070,19-09-2024,C1461,P1276,1,460.04,378.75,UPI,E111,460.04
INV10071,28-05-2025,C1048,P1115,5,4034.92,3087.58,UPI,E194,20174.6
INV10072,12-03-2025,C1312,P1231,10,3083.3,2691.39,Card,E175,30833
INV10073,25-03-2025,C1469,P1939,2,513.86,377.17,UPI,E149,1027.72
INV10074,03-07-2025,C1228,P1198,3,2398.87,1989.34,UPI,E139,7196.61
INV10075,29-04-2025,C1513,P1674,1,4045.45,3469.77,Card,E195,4045.45
INV10076,27-06-2025,C1892,P1747,8,4501.19,4040.7,Cash,E190,36009.52
INV10077,16-08-2024,C1441,P1130,3,2734.03,2328.49,Card,E186,8202.09
INV10078,04-04-2025,C1116,P1976,5,4496.96,3206.07,Cash,E147,22484.8
INV10079,06-06-2025,C1336,P1494,3,1290.19,1101.06,UPI,E179,3870.57
INV10080,18-03-2025,C1228,P1758,1,4907.19,3691.64,Cash,E178,4907.19
INV10081,21-12-2024,C1724,P1484,6,3863.91,2931.75,UPI,E161,23183.46
INV10082,07-07-2025,C1130,P1587,6,2855.58,2425.27,Card,E152,17133.48
INV10083,08-04-2025,C1921,P1659,8,2259.84,1921.45,Cash,E179,18078.72
INV10084,13-06-2025,C1256,P1833,9,1092.62,869.49,Card,E106,9833.58
INV10085,19-08-2024,C1734,P1090,6,4545.51,3578.23,Cash,E165,27273.06
INV10086,19-08-2024,C1213,P1285,4,1783.65,1282.31,Card,E129,7134.6
INV10087,22-07-2024,C1355,P1628,1,3013.87,2686.02,Card,E132,3013.87
INV10088,19-06-2025,C1790,P1328,3,306.89,246.99,Card,E164,920.67
INV10089,02-08-2024,C1783,P1003,2,4496.44,3895.12,UPI,E161,8992.88
